original_id,clone_id,edit_rate_bucket,actual_edit_rate,ops_applied
0,0,0.02,0.014492753623188406,1
0,1,0.05,0.043478260869565216,3
0,2,0.1,0.10144927536231885,7
0,3,0.2,0.2028985507246377,9
0,4,0.3,0.30434782608695654,10
37,5,0.02,0.02666666666666667,2
37,6,0.05,0.05333333333333334,4
37,7,0.1,0.10666666666666667,8
37,8,0.2,0.2,3
37,9,0.3,0.64,2
74,10,0.02,0.018018018018018018,2
74,11,0.05,0.05405405405405406,6
74,12,0.1,0.13513513513513514,1
74,13,0.2,0.27927927927927926,2
74,14,0.3,0.40540540540540543,1
111,15,0.02,0.01932367149758454,4
111,16,0.05,0.04830917874396135,10
111,17,0.1,0.2898550724637681,2
111,18,0.2,0.23671497584541062,1
111,19,0.3,0.3526570048309179,2
148,20,0.02,0.024390243902439025,1
148,21,0.05,0.04878048780487805,2
148,22,0.1,0.0975609756097561,4
148,23,0.2,0.1951219512195122,8
148,24,0.3,0.2926829268292683,2
185,25,0.02,0.022598870056497175,4
185,26,0.05,0.05084745762711865,9
185,27,0.1,0.14689265536723164,2
185,28,0.2,0.4124293785310734,1
185,29,0.3,0.3954802259887006,1
222,30,0.02,0.020942408376963352,8
222,31,0.05,0.049738219895287955,5
222,32,0.1,0.09947643979057591,11
222,33,0.2,0.34293193717277487,2
222,34,0.3,0.5130890052356021,6
259,35,0.02,0.019230769230769232,2
259,36,0.05,0.04807692307692308,5
259,37,0.1,0.28846153846153844,1
259,38,0.2,0.25,2
259,39,0.3,0.2980769230769231,2
296,40,0.02,0.025,2
296,41,0.05,0.05,4
296,42,0.1,0.1,8
296,43,0.2,0.3875,2
296,44,0.3,0.3,9
333,45,0.02,0.018604651162790697,4
333,46,0.05,0.09302325581395349,1
333,47,0.1,0.10232558139534884,3
333,48,0.2,0.2,8
333,49,0.3,0.3023255813953488,11
370,50,0.02,0.018518518518518517,1
370,51,0.05,0.05555555555555555,3
370,52,0.1,0.09259259259259259,5
370,53,0.2,0.24074074074074073,1
370,54,0.3,0.2962962962962963,9
407,55,0.02,0.023529411764705882,2
407,56,0.05,0.047058823529411764,4
407,57,0.1,0.10588235294117647,9
407,58,0.2,0.38823529411764707,2
407,59,0.3,0.4235294117647059,2
444,60,0.02,0.02247191011235955,2
444,61,0.05,0.0449438202247191,4
444,62,0.1,0.10112359550561797,9
444,63,0.2,0.20224719101123595,5
444,64,0.3,0.30337078651685395,8
481,65,0.02,0.016129032258064516,2
481,66,0.05,0.04838709677419355,6
